"BANCO NACIONAL DE CREDITO;Avenida Vollmer, Torre Sur del Centro Empresarial, piso 5, Urbanizacion San Bernardino, Municipio Libertador, Distrito Capital.;1"
"BANCO PLAZA;Avenida Casanova, entre calles Unin y Villaflor, Sabana Grande, Torre Banco Plaza, PH, Municipio Libertador, Distrito Capital.;1"
"BANCO DEL CARIBE (BANCARIBE).;Avenida Francisco de Miranda, cruce con calle El Parque y Avenida Mohedano, Edificio Centro Empresarial Galipan, Torre Bancaribe, PB, Urbanizacion El Rosal, Municipio Chacao, estado Miranda.;1"
"BANCO SOFITASA;Avenida 7ma, esquina calle 4, Edificio Banco Sofitasa, Mezzanina, oficina 1, Sector Centro, San Cristobal, estado Tachira.;1"
"DEL SUR BANCO UNIVERSAL;Avenida principal de La Castellana con avenida San Felipe, Edificio Bancaracas, piso 6, Oficina 603, La Castellana, Municipio Chacao estado Miranda.;1"
"BANCO DEL TESORO;Calle Guaicaipuro, Torre Banco del Tesoro, PH, El Rosal, Municipio Chacao, estado Miranda.;1"
"BANCO EXTERIOR;Avenida Urdaneta, Urapal a Rio, Edificio Banco Exterior, piso 1, Parroquia La Candelaria, Municipio Libertador, Distrito Capital.;1"
"BANCO INTERNACIONAL DE DESARROLLO;Avenida Francisco de Miranda, Edificio Dozsa, piso 8, Urbanizacion El Rosal, Municipio Chacao, estado Miranda.;1"
"BANCO DE LA FUERZA ARMADA NACIONAL BOLIVARIANA (BANFANB);Avenida Venezuela del Rosal, Urbanización El Rosal, Torre BANFANB, piso 1, Municipio Chacao, estado Miranda;1"
"BANCO FONDO COMUN (BFC);Avenida Lazo Marti entre avenida Venezuela y calle Guaicaipuro, Torre BFC, piso 4, Urbanizacion El Rosal, Municipio Chacao, estado Miranda.;1"
"BANPLUS BANCO UNIVERSAL;Avenida Paseo Enrique Eraso, Torre La Noria, piso 6, Las Mercedes, Municipio Baruta, estado Miranda.;1"
"100% BANCO;Avenida Blandin, Centro Comercial San Ignacio, Torre Copernico, piso 10, La Castellana, Municipio Chacao, estado Miranda.;1"
"BANCO PROVINCIAL.;Avenida Vollmer con avenida Este 0, Centro Financiero Provincial, piso 27, San Bernardino, Municipio Libertador, Distrito Capital.;1"
"BANCO BICENTENARIO;Avenida Venezuela, Edificio Banco Bicentenario, Planta Baja, Urbanización El Rosal, Municipio Chacao, estado Miranda.;1"
"BANCO DE VENEZUELA;Avenida Universidad, esquina de Sociedad, Torre de Servicios Centrales, piso 18, Parroquia Catedral, Municipio Libertador, Distrito Capital.;1"
"BANCO AGRÍCOLA DE VENEZUELA;Avenida Francisco de Miranda, Edificio Cavendes, Piso 17, Los Palos Grandes, Municipio Chacao, estado Miranda.;1"
"BANESCO;Avenida Principal de Bello Monte, entre calle Sorbona y calle Lincoln, Edificio Ciudad Banesco, Municipio Baruta, estado Miranda.;1"
"BANCO CARONÍ;Avenida Via Venezuela, Edificio Multicentro Banco Caroni, Mezzanina, Puerto Ordaz, estado Bolivar.;1"
"BANCO MERCANTIL;Avenida Andres Bello, Edificio Mercantil, Piso 35, Urbanizacion San Bernardino, Municipio Libertador, Distrito Capital.;1"
"BANCO ACTIVO;Avenida Francisco de Miranda, Edificio Torre Europa, piso 12, oficina 12A / 12B, Urbanizacion Campo Alegre, Municipio Chacao, estado Miranda.;1"
"BANCO VENEZOLANO DE CRÉDITO;Avenida Alameda, Urbanizacion San Bernardino, Edificio Venezolano de Credito, piso 9, Municipio Libertador, Distrito Capital.;1"
"BANCAMIGA;Edificio Sede Gerencial La Castellana, avenida Francisco de Miranda, cruce con la avenida Principal de La Castellana, Chacao, Municipio Chacao, estado Miranda.;1"
"BANCO DE LA GENTE EMPRENDEDORA (BANGENTE);Centro Rental de la Universidad Metropolitana (CENTROMET), Edificio Numero 1, Planta Baja, Entrada Oeste, Urbanización Terrazas del Avila, Municipio Sucre, estado Miranda.;2"
"MI BANCO;Avenida Francisco de Miranda, Centro Lido, Torre A, piso 5, Oficina 5-A (51-A, 52-A, 53-A, 54-A, 55-A, 56-A y 57-A) Urbanizacion El Rosal, Municipio Chacao, estado Miranda.;2"
"BANCRECER;Avenida Francisco de Miranda, cruce con calle Capitolio, Torre Bazar Bolivar, Planta Baja, Boleita Sur, Municipio Sucre, estado Miranda.;2"
